TOTALPOP,TOT_LT18,TOT_65OVER,TOT_18TO64,F_LT18,F_65OVER,F_18TO64,M_LT18,M_65OVER,M_18TO64,M_TOTAL,M_UNDER5,M_5TO9,M_10TO14,M_15TO17,M_18AND19,M_20,M_21,M_22TO24,M_25TO29,M_30TO34,M_35TO39,M_40TO44,M_45TO49,M_50TO54,M_55TO59,M_60AND61,M_62TO64,M_65AND66,M_67TO69,M_70TO74,M_75TO79,M_80TO84,M_85OVER,F_TOTAL,F_UNDER5,F_5TO9,F_10TO14,F_15TO17,F_18AND19,F_20,F_21,F_22TO24,F_25TO29,F_30TO34,F_35TO39,F_40TO44,F_45TO49,F_50TO54,F_55TO59,F_60AND61,F_62TO64,F_65AND66,F_67TO69,F_70TO74,F_75TO79,F_80TO84,F_85OVER,county,state
39307,9318,7083,22906,4730,3814,11513,4588,3269,11393,19250,1224,1240,1278,846,488,381,182,602,1172,1116,971,1231,1147,1300,1225,918,660,504,717,815,462,424,347,20057,1404,1309,1237,780,528,194,186,781,1123,1140,1291,887,1182,1312,1494,512,883,747,680,710,577,642,458,39,35
28034,5651,5536,16847,2696,2969,8261,2955,2567,8586,14108,671,596,1043,645,510,92,159,787,880,823,862,578,839,940,1078,344,694,508,363,721,501,227,247,13926,666,756,611,663,531,238,190,405,782,637,520,1062,800,932,1093,660,411,394,614,733,507,395,326,47,35
15595,3293,3001,9301,1483,1478,4276,1810,1523,5025,8358,393,403,524,490,193,142,136,345,480,342,626,447,525,508,563,333,385,224,324,494,306,93,82,7237,348,411,534,190,114,143,113,247,260,413,357,384,410,545,792,197,301,243,326,365,292,224,28,57,35
65745,15440,10952,39353,7593,5749,18517,7847,5203,20836,33886,2221,2313,2105,1208,890,275,748,2444,2921,2409,1897,1792,1655,1883,2203,480,1239,653,864,1481,1155,566,484,31859,2220,1960,2225,1188,706,318,444,1378,2196,2097,1876,1627,1838,1939,2103,793,1202,664,1264,1241,1312,610,658,35,35
26978,6438,4088,16452,3334,2262,7734,3104,1826,8718,13648,917,830,808,549,395,124,154,576,1132,964,991,978,845,837,805,325,592,163,279,652,438,175,119,13330,915,813,996,610,299,149,107,600,892,796,747,758,726,809,895,465,491,376,422,466,393,233,372,6,35
4382,774,990,2618,356,483,1036,418,507,1582,2507,165,51,109,93,22,0,9,54,207,266,242,152,156,194,191,36,53,105,50,83,106,118,45,1875,55,134,136,31,28,30,82,22,106,149,78,56,88,92,193,21,91,42,81,128,110,70,52,19,35
3539,468,1364,1707,179,544,886,289,820,821,1930,3,57,115,114,0,9,0,84,76,38,33,32,48,126,235,34,106,126,153,255,145,48,93,1609,61,56,44,18,21,0,0,0,5,25,117,23,64,75,360,74,122,39,87,177,24,24,193,3,35
28061,5874,7197,14990,2804,3673,7715,3070,3524,7275,13869,874,947,773,476,310,165,292,384,643,711,649,799,633,746,984,456,503,442,708,992,829,234,319,14192,772,682,806,544,337,133,125,435,732,804,719,693,708,857,1062,365,745,545,641,879,684,394,530,17,35
24264,6385,4994,12885,3278,2609,6357,3107,2385,6528,12020,904,889,843,471,347,266,97,525,732,789,451,693,599,709,627,330,363,350,363,583,470,353,266,12244,893,861,1030,494,291,222,151,447,638,646,683,511,633,682,794,294,365,327,480,638,506,407,251,29,35
72849,21366,8412,43071,10547,4929,22215,10819,3483,20856,35158,2895,2968,3214,1742,1111,612,509,1606,2734,2413,2085,1963,2017,2079,1782,1008,937,559,434,1154,483,445,408,37691,2803,2874,3149,1721,1031,657,528,1509,2927,2321,1949,2360,2080,2416,2129,1039,1269,859,802,1139,810,752,567,31,35
32888,6053,7976,18859,3005,4286,9521,3048,3690,9338,16076,693,819,971,565,319,16,289,888,487,835,773,1115,992,1089,1378,535,622,499,870,968,688,459,206,16812,815,921,747,522,520,96,291,464,448,854,836,917,1015,1223,1355,649,853,800,684,1100,487,674,541,55,35
12353,2311,3155,6887,1060,1631,3353,1251,1524,3534,6309,280,471,224,276,131,45,74,267,332,303,394,255,331,411,359,278,354,216,290,432,427,102,57,6044,338,291,330,101,112,55,31,211,266,291,285,313,322,408,521,240,298,181,247,477,296,180,250,7,35
57437,15197,8129,34111,7394,4409,16645,7803,3720,17466,28989,2108,2093,2357,1245,750,310,333,1314,2036,2185,1780,1638,1705,1834,1851,858,872,537,830,803,798,364,388,28448,2070,1997,2051,1276,679,475,308,1053,1930,1988,1713,1567,1580,1670,1879,676,1127,759,728,823,763,542,794,15,35
4563,852,1151,2560,401,695,1237,451,456,1323,2230,105,247,85,14,122,0,54,144,109,66,89,44,156,69,258,122,90,57,84,146,68,45,56,2333,149,56,82,114,69,0,1,42,218,89,118,50,144,231,128,91,56,108,94,214,141,109,29,33,35
8373,1858,2026,4489,1010,1079,2403,848,947,2086,3881,205,313,245,85,109,10,33,159,87,317,247,180,131,221,314,84,194,140,173,249,185,101,99,4492,303,443,156,108,103,73,48,46,195,320,233,273,217,222,383,70,220,129,233,260,188,155,114,37,35
19482,3613,5399,10470,1960,2846,5448,1653,2553,5022,9228,408,445,570,230,251,78,73,285,392,455,441,464,380,620,750,305,528,422,439,610,424,395,263,10254,428,597,487,448,18,105,225,198,433,468,470,571,481,700,954,358,467,357,651,697,561,358,222,27,35
70126,21165,7684,41277,10254,4198,19537,10911,3486,21740,36137,2792,2830,3624,1665,1221,413,530,1592,2623,2931,2488,1996,2058,2103,1874,945,966,526,710,835,676,419,320,33989,2701,3052,2904,1597,927,401,562,1368,2339,2393,2370,1782,1922,1911,2077,671,814,537,654,1109,726,572,600,25,35
148917,28007,32763,88147,13963,17805,44805,14044,14958,43342,72344,3458,3960,4137,2489,1624,826,859,2373,4226,4441,4238,4296,4488,4899,5595,1992,3485,2527,3381,3997,2486,1370,1197,76573,3211,3967,4243,2542,1494,1048,697,2226,4048,4208,4138,4216,4636,5326,6305,2323,4140,2752,3812,4819,2873,1745,1804,49,35
11135,1796,3918,5421,888,1978,2753,908,1940,2668,5516,340,113,241,214,125,76,29,218,126,259,221,248,143,372,387,227,237,126,357,574,502,240,141,5619,178,304,323,83,79,29,26,102,277,162,165,246,299,390,433,246,299,266,375,480,414,195,248,51,35
17000,3923,3142,9935,1777,1673,4751,2146,1469,5184,8799,259,687,679,521,335,458,107,537,248,494,734,195,355,555,493,318,355,386,219,318,159,137,250,8201,331,717,581,148,283,60,122,228,449,298,425,607,471,626,678,184,320,296,362,372,183,125,335,53,35
215338,53956,32046,129336,26545,17073,65946,27411,14973,63390,105774,7256,7545,8047,4563,3915,1626,3057,7277,7458,6970,6011,5162,5378,5469,6125,1763,3179,2217,2854,3853,2513,2112,1424,109564,7098,7785,7297,4365,4311,2091,2460,7020,6853,6363,5702,6356,5797,6346,6192,2474,3981,2336,2959,4249,3322,2275,1932,13,35
18356,4168,3173,11015,1964,1655,5384,2204,1518,5631,9353,521,602,709,372,243,113,15,196,363,833,671,359,650,730,890,304,264,222,245,438,276,159,178,9003,432,570,595,367,255,110,43,162,307,645,538,615,590,717,763,357,282,199,221,520,180,225,310,28,35
75956,18184,12596,45176,8755,6686,22385,9429,5910,22791,38130,2271,2402,3096,1660,935,567,410,1554,2470,2257,2207,2316,2417,2571,2554,994,1539,685,1337,1657,966,627,638,37826,2057,2338,2752,1608,1038,570,326,1327,2234,2183,2394,1946,2339,2660,2669,1075,1624,966,1233,1757,1260,807,663,61,35
677692,151579,103210,422903,74163,57633,213625,77416,45577,209278,332271,20411,20925,22901,13179,8562,4950,4932,13641,26314,25412,23569,19306,20252,21250,21281,8755,11054,7035,9392,11880,7777,5528,3965,345421,19225,20586,21683,12669,8241,4967,4416,13324,25374,24774,22360,20396,20868,22537,23833,9393,13142,7650,11065,14116,10035,7098,7669,1,35
2060,548,431,1081,270,205,533,278,226,548,1052,45,56,65,112,40,8,0,6,54,65,123,23,34,100,37,17,41,36,44,53,41,20,32,1008,60,49,127,34,53,38,8,34,2,60,60,97,49,69,18,15,30,5,67,56,37,14,26,11,35
4371,1001,919,2451,541,480,1201,460,439,1250,2149,105,135,159,61,29,14,26,29,231,115,159,72,116,158,131,69,101,40,60,121,118,54,46,2222,151,155,133,102,117,13,15,56,73,80,96,131,129,182,135,45,129,73,87,97,64,63,96,23,35
140769,33663,23111,83995,16410,12557,42847,17253,10554,41148,68955,4004,4861,5209,3179,1733,912,872,2168,4232,4459,4001,4753,4322,4585,4865,1788,2458,1592,2306,3019,1838,1187,612,71814,3802,4369,5354,2885,1702,798,603,2359,4058,4590,4485,4709,4459,4768,5268,1890,3158,2310,2337,3126,2125,1282,1377,43,35
50199,13411,6018,30770,6474,3367,14249,6937,2651,16521,26109,2100,1831,1925,1081,893,398,754,1697,2640,1970,1655,1543,1176,1298,1198,502,797,385,435,764,620,266,181,24090,2060,1834,1668,912,534,526,331,1031,2012,1860,1402,1312,1260,1377,1444,487,673,300,637,820,581,440,589,9,35
459,70,176,213,62,55,76,8,121,137,266,0,2,0,6,2,4,0,0,2,26,11,9,2,20,20,19,22,8,29,36,20,16,12,193,21,28,13,0,0,0,0,0,0,13,0,8,9,6,26,7,7,7,7,12,13,10,6,21,35
127455,34703,17443,75309,17063,9631,37638,17640,7812,37671,63123,4661,4971,5148,2860,1613,877,849,2394,4550,4404,4300,3490,3426,3824,4295,1428,2221,1230,1577,1954,1387,687,977,64332,4367,5048,4740,2908,1499,831,823,2356,4415,4320,3908,3858,3505,4031,4478,1475,2139,1379,1831,2150,1661,1341,1269,45,35
65459,17581,10048,37830,8479,5491,18889,9102,4557,18941,32600,2344,2620,2455,1683,1209,532,539,1215,2067,2095,1737,1923,1824,1967,1714,773,1346,589,871,1172,716,652,557,32859,2133,2901,1933,1512,868,440,433,1255,2024,2129,1877,1878,1759,2201,1909,933,1183,720,963,1304,954,748,802,5,35
4175,790,810,2575,435,461,977,355,349,1598,2302,128,161,39,27,0,50,47,107,168,265,219,148,151,112,236,43,52,38,72,85,20,91,43,1873,106,192,94,43,0,0,55,52,73,112,121,56,152,92,131,82,51,54,92,83,71,83,78,59,35
19117,4728,2574,11815,2325,1387,5882,2403,1187,5933,9523,728,608,715,352,479,183,293,812,728,619,612,325,471,493,439,212,267,176,290,272,147,212,90,9594,695,813,419,398,440,273,375,637,671,504,576,368,479,546,586,236,191,162,256,328,169,253,219,41,35
